short_code,Colorfulness_Picture,Saturation_Picture,Contrast_Picture,Clarity_Picture,Brightness_Picture,Warm Hue_Picture,ROT_Picture,Diagonal_dominance_Picture,Physical_ver_Picture,Physical_Hor_Picture,Color_balance_vertical_Picture,Color_balance_horizontal_Picture,Texture_difference_Picture,Size_difference_Picture,Color_difference_Picture,Depth of field_hue_Picture,Depth of field_saturation_Picture,Depth of field_value_Picture
12.0,24.0,28.67,100.49,1.0,160.6,0.95,123.0447073221762,1.414213562373095,92.0,94.0,127.71,31.05,0.11639844858371479,0.23777091906721537,130.2070641656885,0.3274413020277482,0.24334600760456251,0.16765285996054868
14.0,6.0,10.2,68.22,1.0,224.85,0.78,217.0829334609241,24.74873734152916,10.0,45.0,104.65,34.93,0.1972406098098214,0.25842935528120714,193.7449544774593,0.21558059774620292,0.10337078651685212,1.0250896057347796
15.0,5.0,7.51,66.84,1.0,224.98,0.78,245.44856895080892,6.363961030678928,11.0,2.0,103.91,50.44,0.18221828572323867,0.26271604938271603,193.35192957866434,0.06723664766729999,0.2309288222151292,0.07076923076922854
16.0,6.0,8.93,68.73,1.0,222.97,0.78,250.33177984426987,2.8284271247461903,5.0,1.0,111.26,40.24,0.15517931340192434,0.2669615912208505,194.6194009927703,1.5192034139402542,0.1603968582058704,0.951459992415624
17.0,5.0,9.3,72.93,1.0,219.38,0.77,196.65706191235543,5.65685424949238,37.0,45.0,123.63,61.23,0.14476929447511522,0.29329561042524005,201.65665796237786,0.3667664670658684,0.1346480067854116,0.2582368655387351
18.0,12.0,7.04,59.69,1.0,233.83,0.87,148.69095466772686,26.162950903902257,58.0,95.0,74.23,15.01,0.215869161615336,0.13424897119341564,255.26180847571715,1.5728155339805843,0.3124242424242423,0.3259506895110749
19.0,18.0,58.36,60.56,1.0,98.54,0.99,171.40011668607463,77.78174593052023,17.0,127.0,117.33,116.31,0.13473117028314333,0.4425480109739369,36.76748649874732,0.05396638159834859,0.32019363762102326,0.08600871977804174
20.0,3.0,2.16,42.09,1.0,240.66,0.85,164.17368851311102,77.07463914933368,23.0,132.0,47.8,28.13,0.18021644604739565,0.18061385459533608,119.41654023623272,3.4220183486238853,0.5963302752293572,0.14705882352940933
21.0,3.0,2.13,34.54,1.0,244.91,0.89,182.91254740995763,58.68986283848344,99.0,16.0,34.63,28.42,0.18547622636363859,0.14375857338820303,108.60662427905284,0.3141724479682854,1.1753097751262045,0.39789473684210597
22.0,6.0,3.73,32.51,1.0,244.49,0.99,136.88316185711082,10.606601717798211,91.0,76.0,37.57,30.58,0.1557664630385296,0.18011659807956104,102.44276432553843,1.584070796460179,0.1837667905115748,1.7747747747748546
